video_id,performance_id,reason
HensN6YfQ9E,perf_thrikketta_2015,"Thrikketta 2015 kalam 1 — same performance as HUTSX4MCH6I"
HUTSX4MCH6I,perf_thrikketta_2015,"Thrikketta 2015 kalam 4 — same performance as HensN6YfQ9E"
GVHQYlq9ZSY,perf_rahitha_arjun_double,"Rahitha Krishnadas & Arjun double thayambaka — 3 uploads, likely one performance"
HBP5pm6Yo-I,perf_rahitha_arjun_double,"Rahitha Krishnadas & Arjun double thayambaka"
dphIuIVPYEA,perf_rahitha_arjun_double,"Rahitha Krishnadas & Arjun double thayambaka"
ezfT7Ftonqo,perf_sreeraj_nidheesh_double,"Mattannur Sreeraj & Chirakkal Nidheesh double thayambaka"
K-CNf-KGjfY,perf_sreeraj_nidheesh_double,"Mattannur Sreeraj & Chirakkal Nidheesh double thayambaka"
Rg4sgcjKVRc,perf_mariyamman_pooja,"Sree Mariyamman Pooja Mahotsavam — same event/venue/mic as snthNBWfNpg"
snthNBWfNpg,perf_mariyamman_pooja,"Sree Mariyamman Pooja Mahotsavam — same event/venue/mic as Rg4sgcjKVRc"
9-5erznsEJE,perf_ilanjithara,"Ilanjithara Melam Thrissur Pooram — same annual event/ensemble as BelRA_uO0io"
BelRA_uO0io,perf_ilanjithara,"Ilanjithara Melam Thrissur Pooram — same annual event/ensemble as 9-5erznsEJE"
